"ENSEMBL","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENTREZID_mappings","Ecol_K-12MG1655_1G_CTRL_Rep1","Ecol_K-12MG1655_1G_CTRL_Rep2","Ecol_K-12MG1655_1G_CTRL_Rep3","Ecol_K-12MG1655_1G_CTRL_Rep4","Ecol_K-12MG1655_uG_Clinorotation_Rep1","Ecol_K-12MG1655_uG_Clinorotation_Rep2","Ecol_K-12MG1655_uG_Clinorotation_Rep3","Ecol_K-12MG1655_uG_Clinorotation_Rep4"
NA,"ECs4306|panM","hypothetical protein|PanD autocleavage accelerator, panothenate synthesis",NA,"915839|947963",NA,"GO:0008152|GO:0015940|GO:0016485|GO:0031638|GO:0005515|GO:0008080","1767330_s_at",2,8.88518129536677,8.78466658368852,8.78466573249684,8.5768044023633,8.44961445401727,8.71200781464865,8.87899131925992,8.26356656139362
NA,"ECs4912|yjaZ","protein HtrC|stationary phase growth adaptation protein",NA,"914944|948495",NA,"GO:0009408","1767331_s_at",2,8.79811502657677,8.79723347720645,8.76282868170681,8.41650235416421,8.9121691857889,8.638017562216,8.72690538365023,8.97023416454705
NA,"ribD","bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase",NA,"914569",NA,"GO:0009231|GO:0055114|GO:0003824|GO:0008270|GO:0008703|GO:0008835|GO:0016491|GO:0016787|GO:0046872|GO:0050661","1767332_s_at",1,5.36842554645845,5.59073902941658,5.7072707503035,4.43864912258263,6.60187680848523,4.75257176895617,5.0607285290025,4.32799854632566
NA,"ECs1986","tail assembly protein",NA,"917188",NA,NA,"1767333_x_at",1,1.32585406967418,1.55124328514078,1.378763751895,1.36530556179666,1.69613359357388,0.965565446496709,1.0224416508605,1.19057806610714
NA,NA,NA,NA,NA,NA,NA,"1767334_s_at",0,6.48834417690229,6.3931945341304,6.40327000138944,6.38510217763902,6.20920232245788,6.19998268142924,6.42853369364028,6.70599623272102
NA,"ureC","urease subunit alpha",NA,"913507",NA,"GO:0006807|GO:0019627|GO:0043419|GO:0005737|GO:0009039|GO:0016151|GO:0016787|GO:0016810|GO:0046872","1767335_s_at",1,2.0506643263534,1.88088421390056,2.22864758790328,1.60135522446917,1.29331996648141,1.80509540041249,1.89175430653697,1.30248884982869
NA,NA,NA,NA,NA,NA,NA,"1767336_at",0,2.02666625016677,1.81925124999549,2.11514449900114,1.92263129300523,2.08391209289731,1.93040857963069,1.77551904613103,1.71194664506189
NA,"ECs4349","GntR family transcriptional regulator",NA,"915800",NA,"GO:0006351|GO:0006355|GO:0003677|GO:0003700","1767337_s_at",1,1.18114338184752,0.967740098979065,1.11271504986532,0.986694016317863,1.27378565745492,0.848633812201901,1.10063892894838,0.730290894586228
NA,"prpB","2-methylisocitrate lyase",NA,"944990",NA,"GO:0006097|GO:0008152|GO:0019629|GO:0005737|GO:0000287|GO:0003824|GO:0016829|GO:0046421|GO:0046872|GO:0046912","1767338_at",1,8.55126663729538,8.53968915348317,8.65233071181099,8.73795781785173,8.63476373800286,8.69947804492085,8.46708735374848,8.8005171230415
NA,"ECs4362","hypothetical protein",NA,"915787",NA,NA,"1767339_s_at",1,1.82904833296134,2.10126381190433,2.15690599076454,1.45090056809896,1.91897536915543,1.45157955915594,1.73755308709063,1.79565037188739
NA,NA,NA,NA,NA,NA,NA,"1767341_at",0,3.38869238012151,3.51030730617239,3.69079035282796,2.89250633100724,3.48344406540888,3.30820281776441,3.58829522887378,3.1200811712053
NA,NA,NA,NA,NA,NA,NA,"1767342_at",0,1.6456263470457,1.60086828501093,1.49289497622811,1.59853944487839,1.49958786663763,1.49522381636064,1.64006676188684,1.57620127612703
NA,"ECs3064|yeiQ",NA,NA,"916768|946688",NA,"GO:0008152|GO:0019594|GO:0055114|GO:0003824|GO:0016491|GO:0050662","1767343_s_at",2,8.70411356448528,8.52238693312018,8.57791001648451,8.66714511577376,8.47018892011131,8.61313364867684,8.79736268986831,8.30571380102467
NA,"ECs2931","hypothetical protein",NA,"916634",NA,"GO:0008270","1767344_s_at",1,1.53805755153968,1.49287422052865,2.00049019448002,1.99254224806563,1.4358165092255,1.92511761141118,1.72749149904544,1.28791060027851
NA,NA,NA,NA,NA,NA,NA,"1767345_s_at",0,1.82283376995556,2.12445955550855,1.72225464875482,1.9651910756219,1.63469456718654,1.92454193801089,1.78195664979418,1.99795161426853
NA,NA,NA,NA,NA,NA,NA,"1767346_at",0,2.42071352962197,2.26819159981727,2.45089214023587,2.26148270457929,2.4037118392507,2.08453366466187,2.00107312083672,2.10598322303303
NA,"cpxA","two-component sensor protein|sensory histidine kinase in two-component regulatory system with CpxR",NA,"914983|948405",NA,"GO:0000160|GO:0007165|GO:0016310|GO:0018106|GO:0023014|GO:0043708|GO:0046777|GO:0005622|GO:0005886|GO:0016020|GO:0016021|GO:0000155|GO:0000166|GO:0004673|GO:0004871|GO:0005515|GO:0005524|GO:0016301|GO:0016740|GO:0016772","1767347_s_at",2,9.4468022145205,9.50605044690755,9.58833892424225,9.45043931680036,9.46053171464178,9.68086241593668,9.48852287204284,9.63428574494483
NA,NA,NA,NA,NA,NA,NA,"1767348_at",0,3.68482983463822,3.94783993453076,3.63822900574212,4.36452966078989,3.07545082478435,3.88864308012724,3.63670624772754,4.24667107599426
NA,"ECs1220","terminase large subunit",NA,"912871",NA,NA,"1767349_s_at",1,1.80730597196503,1.85936602562879,2.6907045539066,1.6225852891982,1.68958560316245,1.82573173014497,1.77838604404168,1.60375648372904
NA,NA,NA,NA,NA,NA,NA,"1767350_at",0,2.1835333035061,1.91887246060428,1.96834036749548,2.21617715965456,2.10618016132257,1.99622560278781,1.97382012681536,1.99420191323863
NA,NA,NA,NA,NA,NA,NA,"1767351_at",0,4.7394706858384,4.71261625978621,5.08260963424116,4.30767881622632,4.04001831261222,3.95915789165025,4.56805881545833,4.41585699141296
